work,year,task,input,representation,execution_or_geometry_check,relationship_to_neurocad,primary_source
CSGNet,2018,CSG program induction,2D/3D target shape,CSG program,renderer-guided reconstruction,Older neural program-synthesis neighbor,https://openaccess.thecvf.com/content_cvpr_2018/html/Sharma_CSGNet_Neural_Shape_CVPR_2018_paper.html
SketchGraphs,2020,sketch generation/autoconstrain,CAD sketch graphs,entities plus constraints,constraint graph checks,Richer constraint-learning dataset; different 2D task,https://arxiv.org/abs/2007.08506
ShapeAssembly,2020,part-based shape programs,3D shape,assembly DSL,program execution,Program induction neighbor; not parametric solid CAD,https://arxiv.org/abs/2009.08026
Fusion 360 Gallery,2021,CAD reconstruction,target geometry,sketch and extrude sequences,Fusion environment,Established human sequence dataset; incompatible representation,https://arxiv.org/abs/2010.02392
DeepCAD,2021,CAD sequence generation,CAD sequence latent/model,sketch and extrusion commands,OpenCASCADE-based export/evaluation,Strong generative CAD neighbor; no text input,https://openaccess.thecvf.com/content/ICCV2021/html/Wu_DeepCAD_A_Deep_Generative_Network_for_Computer-Aided_Design_Models_ICCV_2021_paper.html
SketchGen,2021,parametric sketch generation,sequence context,entities and constraints,constraint-oriented evaluation,Learned sketch neighbor; different output space,https://arxiv.org/abs/2106.02711
Vitruvion,2021,parametric sketch generation,sketch sequence,entities plus constraints,sketch constraint evaluation,Neural constraint/program generation neighbor,https://arxiv.org/abs/2109.14124
CAD-SIGNet,2024,CAD language inference,point cloud,layer-wise sketch/extrude commands,CAD reconstruction metrics,Geometry-to-program neighbor; different input,https://openaccess.thecvf.com/content/CVPR2024/papers/Khan_CAD-SIGNet_CAD_Language_Inference_from_Point_Clouds_using_Layer-wise_Sketch_CVPR_2024_paper.pdf
Text2CAD,2024,text-to-parametric CAD,natural language,CAD command sequence,reconstruction and sequence metrics,Closest task family but learned and much richer,https://arxiv.org/abs/2409.17106
CAD-Recode,2024,point-cloud-to-CAD,point cloud,Python/CadQuery code,code execution and geometric comparison,Executable code generation neighbor,https://arxiv.org/abs/2412.14042
CAD-MLLM,2024,multimodal CAD generation,text/image/point inputs,CAD sequences,multimodal task evaluation,Broad learned system; incomparable to compiler subset,https://arxiv.org/abs/2411.04954
CAD-Llama,2025,parametric CAD generation,text,CAD sequences,validity and geometry metrics,Strong text-to-CAD neighbor,https://openaccess.thecvf.com/content/CVPR2025/html/Li_CAD-Llama_Leveraging_Large_Language_Models_for_Computer-Aided_Design_Parametric_3D_CVPR_2025_paper.html
CADCrafter,2025,image-to-CAD,single image,parametric CAD commands,render/geometry evaluation,Image-conditioned neighbor; different input,https://openaccess.thecvf.com/content/CVPR2025/html/Chen_CADCrafter_Generating_Computer-Aided_Design_Models_from_Unconstrained_Images_CVPR_2025_paper.html
Casey et al.,2025,constraint generation,sketch/design intent,parametric constraints,design-intent alignment,Shows constraint validity alone is insufficient,https://openaccess.thecvf.com/content/ICCV2025/html/Casey_Aligning_Constraint_Generation_with_Design_Intent_in_Parametric_CAD_ICCV_2025_paper.html
Pointer-CAD,2026,B-Rep and command-sequence unification,B-Rep/sequence,pointer-based edges and commands,B-Rep/sequence evaluation,Contemporary richer representation; outside current scope,https://openaccess.thecvf.com/content/CVPR2026/html/Qi_Pointer-CAD_Unifying_B-Rep_and_Command_Sequences_via_Pointer-based_Edges__CVPR_2026_paper.html
